symbol,rr,atr_mult,total_r,wr,trades,wins
MINAUSDT,9,1.25,73.01,24.5,53,13
WCTUSDT,10,1.25,66.66,29.0,31,9
GOATUSDT,9,1.0,66.34,26.2,42,11
KASUSDT,10,1.0,66.17,21.6,51,11
ANIMEUSDT,8,1.25,63.65,26.0,50,13
CAKEUSDT,10,1.25,60.53,21.7,46,10
EGLDUSDT,10,0.75,59.37,20.0,55,11
SOLAYERUSDT,6,1.5,58.8,34.1,44,15
ZRXUSDT,9,0.75,56.37,21.4,56,12
PENGUUSDT,9,0.75,52.28,22.2,45,10
BANANAUSDT,9,1.0,52.06,20.4,54,11
SAFEUSDT,7,2.0,51.97,27.3,44,12
1INCHUSDT,10,0.75,51.47,18.0,61,11
DYDXUSDT,10,1.0,51.45,16.9,65,11
SPKUSDT,10,0.5,50.74,30.4,23,7
IMXUSDT,8,1.25,50.23,22.2,54,12
MOVEUSDT,9,1.0,48.24,20.8,48,10
GRTUSDT,10,0.75,48.17,18.5,54,10
JUPUSDT,9,1.25,47.93,20.4,49,10
SEIUSDT,10,0.75,47.73,17.9,56,10
ICXUSDT,7,0.5,47.44,26.4,53,14
VIRTUALUSDT,10,0.5,47.12,17.9,56,10
JASMYUSDT,8,1.0,47.09,21.1,57,12
SUIUSDT,10,1.0,45.35,16.7,60,10
MAVIAUSDT,9,0.75,45.31,22.0,41,9
PARTIUSDT,10,0.5,44.06,24.1,29,7
HIVEUSDT,9,1.5,43.84,18.5,54,10
GRIFFAINUSDT,4,1.0,43.63,37.0,54,20
RVNUSDT,10,0.75,42.27,18.4,49,9
KAITOUSDT,7,1.0,41.5,25.6,43,11
WIFUSDT,9,1.0,41.37,19.6,46,9
RDNTUSDT,10,0.5,40.85,17.2,58,10
API3USDT,9,0.5,40.64,20.0,50,10
1000BONKUSDT,10,0.5,40.57,16.4,61,10
LINKUSDT,9,0.75,40.53,18.0,61,11
ENAUSDT,5,0.75,39.42,31.9,47,15
ARKMUSDT,9,1.0,39.11,17.5,57,10
INJUSDT,10,0.5,38.11,18.6,43,8
AAVEUSDT,7,1.25,37.88,21.0,62,13
SUSHIUSDT,5,1.25,37.24,29.1,55,16
BERAUSDT,4,2.0,37.07,35.3,51,18
ACTUSDT,8,1.0,36.76,20.4,49,10
SKYUSDT,9,1.0,36.54,27.3,22,6
DOLOUSDT,9,0.5,36.38,28.6,21,6
ONDOUSDT,9,1.0,36.36,17.2,58,10
1000PEPEUSDT,10,0.75,35.88,15.8,57,9
FLOWUSDT,10,0.5,35.84,16.7,60,10
FUSDT,7,2.0,35.63,24.3,37,9
VVVUSDT,6,1.5,35.4,27.5,40,11
QNTUSDT,6,1.25,34.75,25.0,52,13
IDUSDT,6,1.25,34.66,23.7,59,14
1000LUNCUSDT,8,0.75,34.24,20.8,48,10
LRCUSDT,7,0.5,33.85,22.0,59,13
BANKUSDT,10,2.0,33.85,23.8,21,5
STRKUSDT,5,1.5,33.54,29.2,48,14
WLDUSDT,6,1.25,33.54,24.1,54,13
HEMIUSDT,10,1.0,33.38,40.0,10,4
LPTUSDT,9,1.0,33.05,17.3,52,9
1000000BABYDOGEUSDT,9,0.5,32.89,20.0,40,8
1000NEIROCTOUSDT,4,1.0,32.79,34.7,49,17
SUPERUSDT,8,1.5,31.97,18.8,48,9
SWARMSUSDT,9,1.0,31.86,17.4,46,8
FLOCKUSDT,6,1.0,31.84,25.6,43,11
ARBUSDT,10,0.5,31.71,15.8,57,9
CHILLGUYUSDT,10,0.75,31.56,14.3,63,9
AIXBTUSDT,10,0.5,31.17,15.7,51,8
TRUMPUSDT,9,1.0,30.85,18.2,44,8
PYTHUSDT,10,1.0,30.84,16.3,43,7
SOLUSDT,9,0.5,30.66,18.4,49,9
GODSUSDT,10,0.5,30.24,17.5,40,7
SANDUSDT,9,2.0,29.89,16.3,49,8
1000TOSHIUSDT,4,1.5,29.57,32.7,49,16
TNSRUSDT,6,2.0,29.28,23.4,47,11
LUNA2USDT,9,0.5,29.15,16.9,59,10
THETAUSDT,7,1.25,28.97,20.0,55,11
ARUSDT,4,2.0,28.7,30.5,59,18
DEEPUSDT,7,0.5,28.69,22.2,45,10
QTUMUSDT,10,0.5,28.2,15.5,58,9
MEWUSDT,10,0.75,27.97,15.6,45,7
ASTERUSDT,10,0.75,27.89,26.7,15,4
LDOUSDT,5,1.25,27.84,25.4,59,15
LSKUSDT,10,1.5,27.56,14.9,47,7
PNUTUSDT,9,1.0,27.45,16.3,49,8
ORCAUSDT,9,0.5,27.07,18.9,37,7
HOLOUSDT,7,2.0,27.06,38.5,13,5
MEUSDT,5,2.0,26.94,26.5,49,13
CELOUSDT,10,0.5,26.74,15.0,60,9
AVAXUSDT,8,0.75,26.7,18.8,48,9
SOPHUSDT,6,1.0,26.41,26.5,34,9
BRETTUSDT,4,1.5,26.37,33.3,42,14
DOGEUSDT,6,1.25,26.29,22.6,53,12
HBARUSDT,10,1.0,26.27,15.2,46,7
MERLUSDT,7,0.75,26.1,21.4,42,9
BIOUSDT,6,0.75,25.75,23.4,47,11
IOUSDT,10,0.5,25.66,14.8,54,8
MMTUSDT,8,1.5,25.66,40.0,10,4
NEOUSDT,4,1.5,25.19,30.4,56,17
TWTUSDT,4,2.0,25.05,29.8,57,17
ENSUSDT,8,0.5,24.74,19.1,47,9
HYPERUSDT,10,0.5,24.65,16.7,36,6
ADAUSDT,9,1.25,24.06,15.1,53,8
PEOPLEUSDT,7,1.25,24.04,18.9,53,10
SUSDT,9,1.25,23.82,15.1,53,8
TUSDT,10,1.0,23.82,14.9,47,7
NEARUSDT,7,1.0,23.56,19.2,52,10
CROUSDT,7,1.25,23.29,21.1,38,8
POLYXUSDT,7,1.25,23.28,20.0,45,9
WAVESUSDT,9,0.75,23.13,16.3,49,8
YGGUSDT,6,1.25,22.62,20.3,64,13
GALAUSDT,8,0.5,22.62,18.0,50,9
TRUSTUSDT,10,0.75,22.42,30.0,10,3
AVNTUSDT,10,2.0,22.23,27.3,11,3
ZORAUSDT,7,0.5,22.09,21.1,38,8
OGNUSDT,8,0.5,21.34,18.0,50,9
BIGTIMEUSDT,5,2.0,21.18,26.3,38,10
ICPUSDT,9,1.25,21.16,15.2,46,7
STOUSDT,8,1.5,20.77,21.7,23,5
HIPPOUSDT,7,1.25,20.63,18.8,48,9
CHZUSDT,8,1.0,20.54,15.9,63,10
AXLUSDT,5,1.5,20.27,24.5,49,12
TAUSDT,7,1.5,20.18,33.3,12,4
ZROUSDT,10,1.0,19.97,14.0,43,6
SNXUSDT,9,0.5,19.93,15.7,51,8
HMSTRUSDT,6,1.25,19.22,20.8,48,10
LINEAUSDT,10,1.0,19.06,23.1,13,3
MANAUSDT,5,1.25,19.04,24.5,49,12
SOMIUSDT,10,1.25,18.82,21.4,14,3
MOODENGUSDT,7,0.75,18.6,19.0,42,8
LTCUSDT,10,1.0,18.5,13.2,53,7
GMTUSDT,10,1.0,18.5,13.0,54,7
NEWTUSDT,9,0.5,18.41,18.5,27,5
BOMEUSDT,10,0.75,18.31,13.0,54,7
XVGUSDT,8,0.75,18.07,16.3,49,8
B2USDT,10,0.5,17.8,17.4,23,4
WUSDT,8,1.25,17.77,15.0,60,9
ZKUSDT,8,1.0,17.53,15.7,51,8
XTZUSDT,4,1.5,17.5,27.1,59,16
NTRNUSDT,4,2.0,17.38,27.7,47,13
TIAUSDT,10,0.5,17.36,14.3,42,6
ICNTUSDT,5,1.5,17.22,29.2,24,7
IOTAUSDT,5,2.0,16.95,22.6,53,12
AXSUSDT,9,0.5,16.93,15.4,52,8
SQDUSDT,6,0.75,16.48,25.0,24,6
MNTUSDT,9,1.5,16.4,14.0,50,7
ONTUSDT,8,0.5,16.34,17.8,45,8
MEMEUSDT,5,1.0,16.34,23.1,52,12
HOMEUSDT,10,2.0,16.17,14.3,28,4
RUNEUSDT,6,0.75,15.98,20.8,48,10
PROMPTUSDT,10,0.5,15.85,16.0,25,4
ALCHUSDT,9,0.75,15.7,13.6,59,8
ONGUSDT,8,0.5,15.69,17.3,52,9
DASHUSDT,8,1.25,15.65,15.9,44,7
INUSDT,7,1.25,15.31,25.0,16,4
ZBCNUSDT,5,0.5,15.13,23.5,51,12
JELLYJELLYUSDT,9,1.0,15.07,14.0,43,6
BATUSDT,7,0.5,14.84,18.5,54,10
DOODUSDT,4,0.5,14.81,32.3,31,10
EIGENUSDT,10,1.0,14.56,12.2,49,6
RENDERUSDT,5,2.0,14.39,22.0,50,11
MYXUSDT,4,0.5,14.23,50.0,10,5
UNIUSDT,10,0.75,14.21,12.5,56,7
TRXUSDT,10,0.5,14.18,16.1,62,10
BTCUSDT,7,1.0,13.77,21.2,33,7
FILUSDT,9,0.5,13.71,14.9,47,7
APEUSDT,4,2.0,13.68,25.4,59,15
POPCATUSDT,6,2.0,13.07,18.0,50,9
AEROUSDT,8,1.5,12.89,14.3,49,7
ARCUSDT,5,1.0,12.67,21.1,57,12
XLMUSDT,7,1.25,12.53,17.5,40,7
DRIFTUSDT,6,2.0,12.43,18.2,44,8
FARTCOINUSDT,4,1.25,12.17,25.5,51,13
GRASSUSDT,7,0.5,12.13,17.4,46,8
GASUSDT,10,1.0,12.09,13.2,38,5
1000TURBOUSDT,9,0.75,11.94,13.2,53,7
RECALLUSDT,7,0.5,11.87,27.3,11,3
WALUSDT,10,0.5,11.85,13.0,46,6
ALGOUSDT,9,1.0,11.74,13.6,44,6
ZECUSDT,7,2.0,11.67,16.3,43,7
LYNUSDT,7,1.0,11.48,25.0,12,3
PAXGUSDT,10,1.5,11.46,16.2,37,6
CVCUSDT,4,1.5,11.36,25.0,60,15
DOTUSDT,10,0.75,11.17,12.8,47,6
TAOUSDT,7,1.25,11.13,15.5,58,9
TREEUSDT,5,0.5,11.06,31.2,16,5
SYRUPUSDT,9,0.75,10.73,13.9,36,5
0GUSDT,10,2.0,10.58,18.2,11,2
RESOLVUSDT,5,1.0,10.48,25.0,24,6
TONUSDT,10,0.75,10.37,12.3,57,7
STXUSDT,5,0.5,10.34,23.5,51,12
STORJUSDT,8,0.75,10.2,14.8,61,9
ORDIUSDT,8,0.75,10.16,14.3,56,8
