atr_mult,max_r,cooldown,train_trades,train_r,train_wr,test_trades,test_r,test_wr,test_avg_r
2.5,5,10,10807,-1253.9537257160482,62.996206162672344,7178,-1123.9774728924547,60.769016439119525,-0.15658644091563872
2.5,4,10,10807,-1262.2424027784887,62.996206162672344,7178,-1123.9774728924547,60.769016439119525,-0.15658644091563872
2.5,3,10,10807,-1275.4505846121237,62.996206162672344,7178,-1128.421260085723,60.769016439119525,-0.15720552522788003
2.5,2,10,10808,-1317.902051288406,62.99037749814952,7178,-1156.7870241712822,60.769016439119525,-0.16115728951954336
2.5,4,5,11434,-1315.8160317652746,63.09253104775232,7584,-1214.908528314102,60.54852320675106,-0.16019363506251347
2.5,5,5,11434,-1307.5273547028337,63.09253104775232,7584,-1215.0668661869631,60.54852320675106,-0.16021451294659325
2.0,4,10,11229,-1483.2585533308884,61.59943004719922,7437,-1218.1744183711487,59.52669086997445,-0.1637991688007461
2.0,5,10,11229,-1473.6712439053026,61.59943004719922,7437,-1218.4028018325403,59.52669086997445,-0.1638298778852414
2.5,3,5,11434,-1329.0242135989092,63.09253104775232,7584,-1220.2715091370478,60.54852320675106,-0.160900779158366
2.0,3,10,11230,-1506.6250631479988,61.593944790739094,7437,-1227.3982939868117,59.52669086997445,-0.16503943713685784
2.5,2,5,11434,-1371.1617465490988,63.09253104775232,7584,-1250.709437698663,60.54852320675106,-0.16491421910583634
2.0,2,10,11230,-1563.0876853732439,61.593944790739094,7437,-1270.2620727412598,59.52669086997445,-0.17080302174818607
1.5,5,10,11551,-1658.9308010639054,59.79568868496234,7642,-1339.8463029332047,57.602721800575765,-0.17532665570965777
2.0,4,5,12044,-1555.3765172341307,61.806708734639656,7959,-1340.1411849293575,59.20341751476316,-0.16838059868442737
2.0,5,5,12044,-1545.7892078085436,61.806708734639656,7959,-1340.6287892265136,59.20341751476316,-0.1684418632022256
1.5,4,10,11552,-1672.8330249432568,59.79051246537396,7642,-1345.1314285342974,57.602721800575765,-0.17601824503196772
2.0,3,5,12044,-1577.6828578584202,61.806708734639656,7959,-1350.185297091843,59.20341751476316,-0.16964258036082963
1.5,3,10,11552,-1701.2047835949832,59.79051246537396,7642,-1363.9684506455496,57.602721800575765,-0.1784831785717809
2.0,2,5,12045,-1638.4320564332777,61.801577418015775,7960,-1395.6688181336979,59.20854271356784,-0.1753352786600123
1.0,5,10,11816,-1818.2832078823358,56.60121868652674,7776,-1399.9313442139817,55.29835390946503,-0.18003232307278572
1.0,4,10,11816,-1842.6412460121655,56.60121868652674,7776,-1410.3740035308676,55.29835390946503,-0.18137525765571857
1.5,2,10,11554,-1790.0055597054318,59.79747273671456,7642,-1432.4056682532284,57.602721800575765,-0.1874385852202602
1.0,3,10,11816,-1901.3574706696877,56.60121868652674,7776,-1443.6675037335021,55.29835390946503,-0.18565682918383516
1.5,5,5,12571,-1774.0398177829034,59.995227110015115,8252,-1480.2232704470362,57.149781871061556,-0.17937751701975718
1.5,4,5,12571,-1787.814893889908,59.995227110015115,8252,-1486.6725060974304,57.149781871061556,-0.18015905308984856
1.5,3,5,12571,-1819.4668736640758,59.995227110015115,8252,-1508.876884552484,57.149781871061556,-0.18284984059046097
1.0,5,5,12984,-2010.5123951522623,56.615834873690694,8464,-1543.5106787490222,54.95037807183365,-0.18236184767828711
1.0,4,5,12984,-2037.982968314349,56.615834873690694,8464,-1555.289597861315,54.95037807183365,-0.18375349691178108
1.0,2,10,11820,-2092.210456394539,56.615905245346866,7780,-1559.4619173976914,55.30848329048843,-0.20044497652926624
1.5,2,5,12575,-1917.9430969213417,60.007952286282304,8253,-1587.5549002239186,57.167090754877016,-0.19236094756136177
1.0,3,5,12987,-2102.456836088197,56.62585662585663,8465,-1593.4950623321083,54.95569994093326,-0.1882451343570122
1.0,2,5,12997,-2316.0212432379635,56.64384088635839,8468,-1730.1400140204937,54.948039678790735,-0.20431507014885378
