name,sl_pct,max_r,filter,train_trades,train_r,test_trades,test_r,test_wr,test_avg_r,mc_p5,mc_p50,mc_p95,mc_prob_profit,splits_profitable,consistent
TightTrail,0.01,6,none,76221,299.45981725249067,47666,-48.491971203164326,72.91990097763605,-0.0010173283095532314,-323.5743100524555,-51.07698063350315,231.99087118079342,38.9,2,False
AllFilters,0.01,6,all,21009,-551.2122112163081,13679,-209.3213501243694,73.68959719277724,-0.015302386879477256,-358.21834919496433,-214.1837124436773,-61.63386987446439,0.8999999999999999,2,False
RSI_Zone,0.01,6,rsi_zone,35313,-710.0421047887154,23185,-684.4011713653399,73.44403709294802,-0.02951913613825059,-865.7352953172023,-676.7104425507883,-498.28066471778664,0.0,1,False
Volume1x,0.01,6,volume,53801,-1138.9448350604205,34076,-717.3271266403705,73.08076065265877,-0.021050801932162532,-952.5063696276036,-711.0461235003972,-494.4720492091267,0.0,2,False
Trend,0.01,6,trend,53613,-594.0357887608587,33450,-775.4559304936265,73.03437967115097,-0.02318253902821006,-995.3279684831266,-768.7062909549079,-536.526046162389,0.0,1,False
Vol+VWAP,0.01,6,vol_vwap,50829,-1202.886936530073,32227,-806.6164649115514,73.31740466068824,-0.025029213544901834,-1035.2238838693443,-813.9124983789771,-584.893257706851,0.0,1,False
CD10,0.01,6,none,55222,-1326.370625112498,34887,-835.5056514545664,73.19345314873735,-0.023948910810748028,-1075.2652470627681,-830.8042172982098,-587.9678188640432,0.0,1,False
R3_8R,0.01,8,none,75866,-1188.4990382715762,47463,-932.8909919737915,72.91785180034974,-0.01965512066185853,-1194.0236586363835,-943.1999826680402,-667.6399024555366,0.0,1,False
R3_7R,0.01,7,none,75867,-1196.905448753464,47463,-944.9743285395604,72.91785180034974,-0.01990970500262437,-1215.869526679599,-944.5527097496839,-678.1167069602159,0.0,1,False
R3_Best,0.01,6,none,75868,-1234.031634243217,47463,-966.0106047549855,72.91574489602426,-0.02035291921612594,-1250.977953450681,-980.7991686033532,-689.5722972961121,0.0,1,False
R3_Alt,0.01,5,none,75875,-1302.4656572942354,47464,-980.7873487801796,72.92684982302376,-0.020663815708330095,-1244.065751637205,-980.0829032059613,-709.9029475903541,0.0,1,False
VWAP,0.01,6,vwap,72329,-1405.446315317818,45471,-1279.311625795108,72.9673858063381,-0.028134671016584373,-1525.0215224800925,-1277.5271230881574,-1020.5742865118314,0.0,1,False
R1_Best,0.005,5,none,105034,-6901.634337519627,67272,-5107.3019051574465,61.62890950172434,-0.0759201734028637,-5518.946649948938,-5118.280508424163,-4730.997298849311,0.0,0,False
