symbol,rr,total_r,wr,avg_r,trades,wins,losses
SUIUSDT,8.0,44.73,26.5,1.316,34,9,25
AAVEUSDT,7.0,26.64,23.5,0.783,34,8,26
KAITOUSDT,7.0,30.14,25.8,0.972,31,8,23
ICPUSDT,6.0,19.61,25.9,0.726,27,7,20
ENAUSDT,8.0,18.46,20.0,0.738,25,5,20
PENGUUSDT,8.0,15.01,17.2,0.518,29,5,24
HBARUSDT,4.5,16.18,35.0,0.809,20,7,13
STORJUSDT,6.0,3.26,17.6,0.096,34,6,28
AVAXUSDT,5.5,6.94,21.7,0.302,23,5,18
SOLUSDT,7.0,-10.64,9.7,-0.343,31,3,28
FARTCOINUSDT,7.0,8.73,18.2,0.397,22,4,18
AIXBTUSDT,6.0,-1.0,14.8,-0.037,27,4,23
HIVEUSDT,8.0,19.55,20.0,0.652,30,6,24
WLDUSDT,7.0,-3.86,12.1,-0.117,33,4,29
VIRTUALUSDT,5.5,8.84,21.4,0.316,28,6,22
POWRUSDT,8.0,36.65,25.8,1.182,31,8,23
WIFUSDT,8.0,21.76,20.0,0.725,30,6,24
GRTUSDT,8.0,27.11,21.9,0.847,32,7,25
EGLDUSDT,8.0,37.06,25.0,1.158,32,8,24
ZETAUSDT,8.0,48.53,31.0,1.673,29,9,20
SPKUSDT,6.0,38.37,39.1,1.668,23,9,14
1000NEIROCTOUSDT,4.0,28.96,41.4,0.999,29,12,17
MEWUSDT,8.0,-5.36,9.1,-0.244,22,2,20
PHAUSDT,7.0,36.02,27.3,1.091,33,9,24
SOLAYERUSDT,8.0,16.47,19.2,0.633,26,5,21
1000LUNCUSDT,5.0,4.99,22.7,0.227,22,5,17
ARBUSDT,8.0,6.45,14.8,0.239,27,4,23
FUSDT,8.0,33.48,31.6,1.762,19,6,13
MINAUSDT,4.0,39.02,45.5,1.182,33,15,18
LUNA2USDT,8.0,14.41,16.7,0.4,36,6,30
MEUSDT,8.0,26.64,21.2,0.807,33,7,26
JUPUSDT,7.0,33.62,28.6,1.201,28,8,20
GPSUSDT,7.0,16.9,22.7,0.768,22,5,17
1000PEPEUSDT,7.0,1.36,14.3,0.048,28,4,24
MOVEUSDT,8.0,24.55,22.2,0.909,27,6,21
PARTIUSDT,6.0,12.46,23.8,0.593,21,5,16
MANAUSDT,5.0,20.23,32.0,0.809,25,8,17
SKYUSDT,5.0,24.04,36.4,1.093,22,8,14
TWTUSDT,4.0,9.7,28.6,0.277,35,10,25
AEROUSDT,8.0,13.08,16.7,0.436,30,5,25
LINKUSDT,7.0,29.62,23.7,0.78,38,9,29
SOPHUSDT,6.0,27.45,27.3,0.832,33,9,24
NEARUSDT,7.0,24.36,24.1,0.84,29,7,22
ANIMEUSDT,6.0,31.08,31.0,1.072,29,9,20
SYRUPUSDT,4.0,7.59,25.7,0.217,35,9,26
ONDOUSDT,8.0,24.23,20.0,0.692,35,7,28
POLYXUSDT,8.0,0.22,12.5,0.009,24,3,21
BRETTUSDT,4.0,15.65,34.8,0.68,23,8,15
SUSDT,5.0,-2.31,17.1,-0.066,35,6,29
BTCUSDT,8.0,25.18,27.3,1.144,22,6,16
DOLOUSDT,4.0,12.69,33.3,0.604,21,7,14
ZROUSDT,5.0,5.94,22.7,0.27,22,5,17
SEIUSDT,5.0,6.54,22.2,0.242,27,6,21
LSKUSDT,5.0,13.28,26.9,0.511,26,7,19
ICNTUSDT,6.0,2.82,16.7,0.118,24,4,20
PNUTUSDT,8.0,25.05,20.0,0.716,35,7,28
SUSHIUSDT,4.0,18.43,34.5,0.636,29,10,19
ASTERUSDT,8.0,20.17,26.7,1.344,15,4,11
ARUSDT,8.0,13.55,17.2,0.467,29,5,24
RENDERUSDT,4.0,5.4,25.9,0.2,27,7,20
SHIB1000USDT,4.0,2.5,24.2,0.076,33,8,25
CAKEUSDT,10.0,-4.6,8.3,-0.192,24,2,22
ZRXUSDT,9.0,33.7,21.2,1.021,33,7,26
IDUSDT,6.0,-7.86,11.5,-0.302,26,3,23
RVNUSDT,10.0,-23.88,3.1,-0.746,32,1,31
GOATUSDT,9.0,46.32,31.8,2.105,22,7,15
BANANAUSDT,9.0,42.31,22.9,1.209,35,8,27
ORCAUSDT,9.0,-4.52,8.7,-0.196,23,2,21
ICXUSDT,7.0,2.04,14.7,0.06,34,5,29
SAFEUSDT,7.0,3.25,15.4,0.125,26,4,22
1000BONKUSDT,10.0,-11.93,6.2,-0.373,32,2,30
KASUSDT,10.0,23.94,17.2,0.826,29,5,24
LDOUSDT,5.0,15.75,26.7,0.525,30,8,22
STRKUSDT,5.0,5.19,21.7,0.226,23,5,18
GALAUSDT,8.0,-19.46,3.8,-0.749,26,1,25
GRIFFAINUSDT,4.0,33.27,43.3,1.109,30,13,17
NTRNUSDT,4.0,-1.61,20.7,-0.056,29,6,23
CELOUSDT,10.0,-11.2,6.5,-0.361,31,2,29
QNTUSDT,6.0,6.43,18.8,0.201,32,6,26
BERAUSDT,4.0,11.17,27.8,0.31,36,10,26
VVVUSDT,6.0,7.85,20.0,0.314,25,5,20
1000TOSHIUSDT,4.0,10.07,28.6,0.359,28,8,20
MERLUSDT,7.0,-8.73,8.7,-0.38,23,2,21
BIOUSDT,6.0,10.77,20.7,0.371,29,6,23
ZORAUSDT,7.0,-15.88,6.5,-0.512,31,2,29
