Config,N,WR_Theo,WR_Actual,Total_R_Theo,Total_R_Actual,Fee_R,Avg_Fee_R,EV/Trade,PF,TP%,Result
Tight-Trail,2114,74.5%,74.5%,+397,+295,102,0.048,+0.140,1.53,2%,✅
Quick-Lock-3R,2114,70.5%,70.5%,+356,+254,102,0.048,+0.120,1.39,1%,✅
Quick-Lock,2114,70.5%,70.5%,+335,+233,102,0.048,+0.110,1.36,2%,✅
Conservative-3R,2114,66.6%,66.6%,+323,+222,102,0.048,+0.105,1.30,1%,✅
Static-3R,2114,31.3%,31.1%,+311,+210,102,0.048,+0.099,1.14,26%,✅
Conservative,2114,66.6%,66.6%,+297,+195,102,0.048,+0.092,1.27,3%,✅
Standard-3R,2114,59.7%,59.7%,+272,+170,102,0.048,+0.080,1.19,2%,✅
Aggressive,2114,52.0%,52.0%,+241,+139,102,0.048,+0.066,1.13,2%,✅
Standard,2114,59.7%,59.7%,+237,+136,102,0.048,+0.064,1.15,4%,✅
Very-Aggressive,2114,48.0%,47.9%,+205,+104,102,0.048,+0.049,1.09,1%,✅
Static-2R,2114,37.3%,37.2%,+179,+77,102,0.048,+0.037,1.06,34%,✅
