Config,N,WR_Theo,WR_Actual,Total_Theo,Total_Actual,Fees_Paid,EV/Trade,PF,Profitable
Quick-Lock,7453,93.9%,72.8%,+17132.3R,+7530.3R,9602.0R,+1.010R,3.63,✅
Fee-Aware-1,7453,92.4%,72.9%,+17071.0R,+7469.1R,9602.0R,+1.002R,3.51,✅
Fee-Aware-2,7453,91.1%,73.1%,+17020.7R,+7418.7R,9602.0R,+0.995R,3.40,✅
Conservative-1,7453,92.4%,71.9%,+16726.5R,+7124.6R,9602.0R,+0.956R,3.33,✅
Conservative-2,7453,91.1%,71.1%,+16342.0R,+6740.0R,9602.0R,+0.904R,3.09,✅
Balanced-1,7453,89.8%,71.3%,+16341.2R,+6739.3R,9602.0R,+0.904R,3.03,✅
Balanced-2,7453,88.5%,70.4%,+16008.7R,+6406.7R,9602.0R,+0.860R,2.85,✅
Current (Bot),7453,89.8%,70.1%,+16008.1R,+6406.1R,9602.0R,+0.860R,2.89,✅
Aggressive-2,7453,88.5%,69.6%,+15679.5R,+6077.5R,9602.0R,+0.815R,2.72,✅
Aggressive-1,7453,85.8%,68.8%,+15352.2R,+5750.2R,9602.0R,+0.772R,2.50,✅
Static-3R,7453,56.1%,51.5%,+9275.0R,-327.0R,9602.0R,-0.044R,0.96,❌
Static-2R,7453,61.9%,50.0%,+6395.0R,-3207.0R,9602.0R,-0.430R,0.57,❌
