config,total_r,trades,wr,avg_r,trail_pct,activation_r,max_r,sl_exits,tp_exits,trail_exits,avg_bars
Current: 0.05R trail @ +0.2R,187.1,1010,80.2,0.185,0.05,0.2,7.0,198,0,810,3.8
0.1R trail @ +0.2R,146.6,1010,80.2,0.145,0.1,0.2,7.0,198,0,810,3.8
Fixed 3R TP (no trail),137.9,1010,29.1,0.137,0.0,0.0,3.0,712,280,0,31.6
Fixed 5R TP (no trail),115.8,1010,20.0,0.115,0.0,0.0,5.0,803,177,0,47.7
"0.3R trail @ +1.0R, max 5R",87.9,1010,52.8,0.087,0.3,1.0,5.0,475,1,528,13.0
0.2R trail @ +0.3R,82.1,1010,76.3,0.081,0.2,0.3,7.0,237,0,771,4.7
"0.2R trail @ +0.5R, max 3R",77.9,1010,67.2,0.077,0.2,0.5,3.0,329,1,677,7.1
Fixed 2R TP (no trail),74.8,1010,36.2,0.074,0.0,0.0,2.0,640,355,0,24.8
0.3R trail @ +0.5R,15.4,1010,67.2,0.015,0.3,0.5,7.0,329,0,678,7.2
0.5R trail @ +1.0R,4.0,1010,52.8,0.004,0.5,1.0,7.0,475,0,529,13.4
0.5R trail @ +0.5R,-80.9,1010,67.2,-0.08,0.5,0.5,7.0,329,0,678,8.0
1.0R trail @ +1.0R,-94.0,1010,52.4,-0.093,1.0,1.0,7.0,479,0,520,18.7
