rr,sl_type,sl_val,div_filter,volume_filter,total_r,trades,wr,wf_score,mc_prob,mc_p50,max_dd,sharpe,avg_r
1.0,atr,0.8,all,False,-210.62640000064815,74066,49.87713660789026,4,100.0,-203.6263999999966,639.9184000005047,-0.045098732003656036,-0.0028437663705431393
1.0,atr,0.8,regular_only,False,923.5527999996139,31118,51.503952696188705,5,100.0,915.5528000000014,141.36920000007865,0.47088255600209267,0.029679053923761613
1.0,atr,1.0,all,False,11.373599999365428,74066,50.0229525018227,4,100.0,34.37360000000353,541.0192000004428,0.0024353748797660618,0.00015356033806828272
1.0,atr,1.0,regular_only,False,805.5527999996183,31118,51.31435182209654,5,100.0,823.5528000000014,209.92600000009713,0.4106752029360319,0.02588703644191845
1.0,atr,1.5,all,False,-629.6264000007234,74066,49.56120217103665,2,100.0,-621.1263999999965,1037.3756000005376,-0.13486242697779763,-0.008500882996256358
1.0,atr,1.5,regular_only,False,139.55279999990677,31118,50.21852304132657,3,100.0,133.55280000000147,343.8168000000128,0.07113933773043293,0.004484632688473127
1.5,atr,0.8,all,False,3039.873600005382,74066,41.65609051386601,6,100.0,3055.3736000000044,160.12759999971695,0.5282188680094927,0.04104276726170418
1.5,atr,0.8,regular_only,False,2506.5528000017916,31118,43.235426441288,6,100.0,2510.052800000002,79.77879999993002,1.0316370338253806,0.0805499325150007
1.5,atr,1.0,all,False,1274.873600001653,74066,40.69478573164475,4,100.0,1270.3736000000044,293.8419999990356,0.22231839083208313,0.017212669781028447
1.5,atr,1.0,regular_only,False,1508.0528000002032,31118,41.94678321228871,6,100.0,1516.8028000000018,149.50600000005,0.6231332686897169,0.04846239475545354
1.5,atr,1.5,all,False,196.37359999905635,74066,40.06966759376772,3,100.0,197.37360000000444,653.1876000003856,0.03434228782261865,0.002651332595240142
1.5,atr,1.5,regular_only,False,433.5527999999067,31118,40.5295970178032,4,100.0,437.3028000000018,213.45959999999025,0.1801200534564081,0.013932540651709837
2.0,atr,0.8,all,False,4283.3736000059325,74066,35.26989441849162,6,100.0,4274.873600000004,147.7671999995564,0.6400352461914682,0.057831847271432674
2.0,atr,0.8,regular_only,False,3080.552800001931,31118,36.64117231184523,6,100.0,3075.552800000002,85.52959999986706,1.086494181162622,0.09899584806227685
2.0,atr,1.0,all,False,2257.3736000051144,74066,34.346393756919504,6,100.0,2252.373600000005,236.7775999995538,0.33942522471046493,0.030477865687428975
2.0,atr,1.0,regular_only,False,1853.552800000545,31118,35.31717976733723,6,100.0,1891.0528000000022,91.32360000000544,0.6590755576397894,0.059565293399336236
2.0,atr,1.5,all,False,873.3736000009154,74066,33.668619879566876,4,100.0,870.8736000000051,583.1499999994361,0.13201319529284264,0.01179182890936348
2.0,atr,1.5,regular_only,False,752.5527999998205,31118,34.09280802108105,4,100.0,738.552800000002,244.6068000000053,0.2699004307926092,0.024183842149232616
2.5,atr,0.8,all,False,5152.87360000613,74066,30.56328139767235,6,100.0,5131.623600000007,130.0767999998552,0.6845786916082801,0.0695713768801627
2.5,atr,0.8,regular_only,False,3402.552800001918,31118,31.698695288900314,6,100.0,3401.552800000003,84.16519999995853,1.0652523269041698,0.10934355678391665
2.5,atr,1.0,all,False,2809.3736000054673,74066,29.646531471930444,6,100.0,2806.1236000000063,233.21799999956875,0.3765179515559323,0.0379306780439806
2.5,atr,1.0,regular_only,False,1953.5528000005884,31118,30.35542129956938,6,100.0,1939.5528000000027,119.89160000000017,0.6189903153664565,0.06277886753649298
2.5,atr,1.5,all,False,1171.3736000040997,74066,28.944454945589072,4,100.0,1163.3736000000063,708.335999999169,0.15817354337466255,0.015815267464208943
2.5,atr,1.5,regular_only,False,1124.5528000000297,31118,29.532746320457615,5,100.0,1136.5528000000027,198.39039999999756,0.3592911604787161,0.03613833793945722
3.0,atr,0.8,all,False,5536.37360000627,74066,26.867928604217862,6,100.0,5573.873600000007,153.27879999993002,0.6689061319494605,0.07474919126193219
3.0,atr,0.8,regular_only,False,3649.5528000019217,31118,27.929172826017094,6,100.0,3648.552800000003,73.2019999999493,1.036955980788897,0.11728108490269046
3.0,atr,1.0,all,False,3452.3736000060967,74066,26.148300164717952,6,100.0,3400.873600000007,265.0643999992308,0.42079747952896845,0.046612124321633364
3.0,atr,1.0,regular_only,False,2255.5528000009026,31118,26.797994729738416,6,100.0,2261.552800000003,109.33840000000072,0.6492324532214624,0.07248386143071221
3.0,atr,1.5,all,False,1206.373600004593,74066,25.31660951043664,4,100.0,1202.8736000000074,989.401199998963,0.1486743739232532,0.01628781897232999
3.0,atr,1.5,regular_only,False,1223.5527999999963,31118,25.904621119609228,5,100.0,1237.052800000003,199.39279999999823,0.356195406193015,0.039319776335239934
