symbol,rr,total_r,wr,avg_r,trades,wins
SUIUSDT,8.0,44.73,26.5,1.316,34,9
AAVEUSDT,7.0,26.64,23.5,0.783,34,8
KAITOUSDT,7.0,30.14,25.8,0.972,31,8
ICPUSDT,6.0,20.69,26.9,0.796,26,7
ENAUSDT,8.0,18.46,20.0,0.738,25,5
PENGUUSDT,8.0,15.01,17.2,0.518,29,5
HBARUSDT,4.5,16.19,35.0,0.81,20,7
STORJUSDT,6.0,4.41,18.2,0.134,33,6
AVAXUSDT,5.5,6.94,21.7,0.302,23,5
SOLUSDT,7.0,-10.64,9.7,-0.343,31,3
FARTCOINUSDT,7.0,8.73,18.2,0.397,22,4
AIXBTUSDT,6.0,-2.08,14.3,-0.074,28,4
HIVEUSDT,8.0,20.6,20.7,0.71,29,6
WLDUSDT,7.0,-2.79,12.5,-0.087,32,4
VIRTUALUSDT,5.5,7.77,20.7,0.268,29,6
POWRUSDT,8.0,36.66,25.8,1.182,31,8
WIFUSDT,8.0,22.82,20.7,0.787,29,6
GRTUSDT,8.0,27.11,21.9,0.847,32,7
EGLDUSDT,8.0,38.23,25.8,1.233,31,8
ZETAUSDT,8.0,48.53,31.0,1.673,29,9
SPKUSDT,6.0,38.37,39.1,1.668,23,9
1000NEIROCTOUSDT,4.0,28.96,41.4,0.999,29,12
MEWUSDT,8.0,-4.25,9.5,-0.203,21,2
PHAUSDT,7.0,36.02,27.3,1.091,33,9
SOLAYERUSDT,8.0,17.03,20.0,0.681,25,5
1000LUNCUSDT,5.0,5.01,22.7,0.228,22,5
ARBUSDT,8.0,6.45,14.8,0.239,27,4
FUSDT,8.0,33.48,31.6,1.762,19,6
MINAUSDT,4.0,39.02,45.5,1.182,33,15
LUNA2USDT,8.0,15.59,17.1,0.445,35,6
MEUSDT,8.0,25.55,20.6,0.752,34,7
JUPUSDT,7.0,33.62,28.6,1.201,28,8
GPSUSDT,7.0,16.9,22.7,0.768,22,5
1000PEPEUSDT,7.0,2.46,14.8,0.091,27,4
MOVEUSDT,8.0,24.55,22.2,0.909,27,6
PARTIUSDT,6.0,12.46,23.8,0.593,21,5
MANAUSDT,5.0,20.23,32.0,0.809,25,8
SKYUSDT,5.0,24.04,36.4,1.093,22,8
TWTUSDT,4.0,9.7,28.6,0.277,35,10
AEROUSDT,8.0,13.08,16.7,0.436,30,5
LINKUSDT,7.0,28.48,23.1,0.73,39,9
SOPHUSDT,6.0,27.45,27.3,0.832,33,9
NEARUSDT,7.0,24.36,24.1,0.84,29,7
ANIMEUSDT,6.0,31.62,32.1,1.129,28,9
SYRUPUSDT,4.0,7.59,25.7,0.217,35,9
ONDOUSDT,8.0,24.23,20.0,0.692,35,7
POLYXUSDT,8.0,0.23,12.5,0.009,24,3
BRETTUSDT,4.0,15.65,34.8,0.68,23,8
SUSDT,5.0,-1.19,17.6,-0.035,34,6
BTCUSDT,8.0,25.18,27.3,1.144,22,6
DOLOUSDT,4.0,12.69,33.3,0.604,21,7
ZROUSDT,5.0,5.94,22.7,0.27,22,5
SEIUSDT,5.0,6.54,22.2,0.242,27,6
LSKUSDT,5.0,18.14,29.6,0.672,27,8
ICNTUSDT,6.0,2.82,16.7,0.118,24,4
PNUTUSDT,8.0,25.05,20.0,0.716,35,7
SUSHIUSDT,4.0,18.43,34.5,0.636,29,10
ASTERUSDT,8.0,20.17,26.7,1.344,15,4
ARUSDT,8.0,13.55,17.2,0.467,29,5
RENDERUSDT,4.0,5.4,25.9,0.2,27,7
SHIB1000USDT,4.0,6.4,26.5,0.188,34,9
