timeframe,sl_pct,max_r,train_trades,train_r,train_wr,test_trades,test_r,test_wr,test_avg_r,fee_impact
30,0.01,5,6389,828.314910424494,64.04758178118641,4084,343.7900690238166,65.05876591576886,0.08417974266009222,0.11
15,0.01,5,12179,1005.1366672829259,69.16824041382708,7512,300.2036127689683,69.18264110756124,0.03996320723761559,0.11
30,0.01,4,6397,760.1825936466348,64.07691105205565,4085,300.0738639680968,65.04283965728274,0.07345749423943619,0.11
30,0.015,5,5969,897.0687216751409,71.351985257162,3723,274.5972463361757,68.78861133494493,0.07375698263125859,0.07333333333333333
15,0.01,4,12181,948.3180603609632,69.18972169772597,7515,262.67795741198375,69.14171656686626,0.03495382001490136,0.11
30,0.015,4,5973,855.6897423826521,71.30420224342876,3725,247.50897058598753,68.75167785234899,0.06644536123113759,0.07333333333333333
30,0.02,5,5521,820.4428160089572,74.62416228944032,3402,229.45423428844174,71.10523221634332,0.06744686487020628,0.055
30,0.01,3,6401,614.4040801970888,64.09935947508203,4088,220.95181426913,64.9706457925636,0.05404887824587329,0.11
5,0.01,5,29766,526.7277561401105,73.39918027279447,18017,218.92699731128943,72.9422212354998,0.012151134889897842,0.11
30,0.02,4,5523,794.6363509273654,74.57903313416622,3403,213.66171126050205,71.05495151337055,0.06278628012356804,0.055
15,0.015,5,10887,799.317861118168,72.94020391292368,6523,212.30923185974757,71.51617353978232,0.032547789645829765,0.07333333333333333
30,0.015,3,5979,792.8782331773026,71.29954841946814,3726,204.51808454110102,68.73322597960279,0.054889448347048043,0.07333333333333333
15,0.015,4,10888,773.574158847285,72.92432035268185,6523,204.2990392788348,71.53150390924421,0.03131979752856581,0.07333333333333333
5,0.02,5,19785,539.7595692348444,75.95147839272175,11656,202.7404766068413,74.8627316403569,0.01739365791067616,0.055
15,0.01,3,12188,811.7046547826905,69.1663931736134,7521,199.3094645597202,69.09985374285334,0.026500394170950698,0.11
5,0.02,4,19787,525.7967375466503,75.95390913225856,11656,194.44610789397598,74.8627316403569,0.01668206141849485,0.055
30,0.02,3,5527,750.8825905391823,74.52505880224352,3405,190.893613874708,71.04258443465493,0.05606273535233715,0.055
5,0.02,3,19790,491.80252552190103,75.93734209196565,11656,180.04136571625435,74.8627316403569,0.015446239337358815,0.055
15,0.015,3,10890,729.5723141366872,72.9384756657484,6526,179.3811542239041,71.51394422310757,0.027487152041664742,0.07333333333333333
5,0.015,5,24148,694.2660533189303,75.5093589531224,14237,173.83962415705014,73.93411533328651,0.012210411193162192,0.07333333333333333
5,0.01,4,29769,460.10071163807953,73.3884241996708,18021,173.23005446383263,72.92603074191221,0.009612677124678577,0.11
5,0.015,4,24150,661.3580540543696,75.49896480331263,14237,159.5750441992854,73.93411533328651,0.011208473990256753,0.07333333333333333
5,0.015,3,24155,594.4351149983918,75.48333678327468,14241,130.28445076215067,73.92739273927393,0.009148546503907779,0.07333333333333333
15,0.02,5,9642,663.2999487595704,74.73553204729309,5676,107.39540539344202,72.18111346018323,0.018920966418858706,0.055
5,0.01,3,29773,327.28875125290614,73.38192321902395,18029,106.24387492721374,72.93804426202229,0.005892943309513214,0.11
15,0.02,4,9645,658.0110454185655,74.74339035769829,5677,105.11692820931785,72.20362867711819,0.018516281171273182,0.055
15,0.02,3,9647,637.407076518866,74.73826059915,5678,95.37147124215272,72.20852412821415,0.016796666298371385,0.055
