symbol,rr,atr_mult,train_r,train_trades,train_wr,test_r,test_trades,test_wr,total_r,total_trades,total_wr,max_drawdown,mc_score
GOATUSDT,9,1.0,31.21,29,20.7,37.38,21,28.6,68.58,50,24.0,18.8,100.0
KASUSDT,10,1.0,21.16,62,12.9,34.06,40,17.5,55.22,102,14.7,26.94,100.0
ANIMEUSDT,8,1.25,37.51,33,24.2,26.14,17,29.4,63.65,50,26.0,11.5,100.0
CAKEUSDT,10,1.25,42.21,62,16.1,49.18,36,22.2,91.39,98,18.4,20.61,100.0
ZRXUSDT,9,0.75,16.73,65,13.8,68.47,45,26.7,85.2,110,19.1,34.99,100.0
PENGUUSDT,9,0.75,30.09,28,21.4,21.16,18,22.2,51.25,46,21.7,7.54,100.0
BANANAUSDT,9,1.0,26.64,50,16.0,41.25,36,22.2,67.88,86,18.6,16.02,100.0
SAFEUSDT,7,2.0,26.46,37,21.6,33.51,30,26.7,59.97,67,23.9,11.45,100.0
MOVEUSDT,9,1.0,10.69,28,14.3,28.05,20,25.0,38.74,48,18.8,14.5,100.0
SEIUSDT,10,0.75,21.69,61,13.1,48.84,45,20.0,70.53,106,16.0,20.46,100.0
ICXUSDT,7,0.5,3.28,63,15.9,59.24,43,32.6,62.52,106,22.6,20.74,100.0
VIRTUALUSDT,10,0.5,55.2,40,22.5,17.31,23,17.4,72.51,63,20.6,9.89,100.0
SUIUSDT,10,1.0,28.97,55,14.5,29.86,54,14.8,58.83,109,14.7,28.51,100.0
HIVEUSDT,9,1.5,37.7,32,21.9,6.14,22,13.6,43.84,54,18.5,16.81,100.0
GRIFFAINUSDT,4,1.0,10.13,29,27.6,33.5,25,48.0,43.63,54,37.0,8.26,100.0
RVNUSDT,10,0.75,34.23,48,16.7,39.28,42,19.0,73.51,90,17.8,18.44,100.0
KAITOUSDT,7,1.0,18.68,20,25.0,22.82,23,26.1,41.5,43,25.6,8.71,100.0
1000BONKUSDT,10,0.5,25.49,46,15.2,33.27,48,16.7,58.76,94,16.0,13.33,100.0
ENAUSDT,5,0.75,19.72,54,24.1,29.26,34,32.4,48.98,88,27.3,21.4,100.0
AAVEUSDT,7,1.25,6.27,69,14.5,32.57,52,21.2,38.84,121,17.4,17.76,100.0
SUSHIUSDT,5,1.25,14.04,71,21.1,40.15,41,34.1,54.19,112,25.9,17.38,100.0
BERAUSDT,4,2.0,13.24,31,29.0,24.33,20,45.0,37.57,51,35.3,6.24,100.0
FUSDT,7,2.0,17.7,23,21.7,16.9,16,25.0,34.6,39,23.1,7.27,100.0
VVVUSDT,6,1.5,22.76,25,28.0,12.64,15,26.7,35.4,40,27.5,12.54,100.0
QNTUSDT,6,1.25,4.73,54,16.7,29.26,44,25.0,33.99,98,20.4,15.42,100.0
IDUSDT,6,1.25,65.57,63,30.2,9.68,43,18.6,75.25,106,25.5,9.85,100.0
STRKUSDT,5,1.5,23.85,52,25.0,26.39,32,31.2,50.24,84,27.4,9.69,100.0
WLDUSDT,6,1.25,4.69,62,16.1,31.21,43,25.6,35.9,105,20.0,16.85,100.0
1000NEIROCTOUSDT,4,1.0,22.28,31,35.5,26.09,27,40.7,48.37,58,37.9,4.31,100.0
1000TOSHIUSDT,4,1.5,20.71,24,37.5,13.87,25,32.0,34.58,49,34.7,6.7,100.0
ARUSDT,4,2.0,14.69,64,25.0,23.17,45,31.1,37.86,109,27.5,13.74,100.0
MEWUSDT,10,0.75,86.59,42,28.6,5.88,25,12.0,92.46,67,22.4,10.98,100.0
LDOUSDT,5,1.25,28.02,70,24.3,26.52,43,27.9,54.53,113,25.7,17.16,100.0
ORCAUSDT,9,0.5,45.84,37,24.3,17.2,28,17.9,63.04,65,21.5,15.45,100.0
CELOUSDT,10,0.5,19.27,67,13.4,24.12,44,15.9,43.39,111,14.4,17.2,100.0
BRETTUSDT,4,1.5,20.38,38,31.6,14.04,25,32.0,34.41,63,31.7,7.3,100.0
HBARUSDT,10,1.0,26.46,56,14.3,39.12,34,20.6,65.58,90,16.7,17.8,100.0
MERLUSDT,7,0.75,10.39,57,15.8,18.42,27,22.2,28.81,84,17.9,14.01,100.0
BIOUSDT,6,0.75,20.96,26,26.9,5.89,20,20.0,26.85,46,23.9,10.11,100.0
GALAUSDT,8,0.5,39.41,67,19.4,10.33,37,16.2,49.74,104,18.3,17.99,100.0
ZORAUSDT,7,0.5,7.77,22,18.2,14.32,16,25.0,22.09,38,21.1,7.74,100.0
NTRNUSDT,4,2.0,26.68,57,29.8,16.74,38,28.9,43.42,95,29.5,11.48,100.0
STORJUSDT,8,0.75,22.69,60,16.7,6.61,48,14.6,29.29,108,15.7,12.75,100.0
